ratings;displayName;brand.displayName
{'average': 4.8, 'total': 0};Yamie Panda, Godean;Yamie Panda Migrate
{'average': 4.8, 'total': 0};Batagor Pak Kirno, Kaliurang;Batagor Pak Kirno
{'average': 4.6, 'total': 0};Ayam pedas artomoro, Godean;Ayam Pedas Artomoro
{'average': 4.7, 'total': 0};Haus!, Yogya Godean;HAUS! GENERAL
{'average': 4.6, 'total': 0};Pondok Ikan Dua Putri, Jalan Kaliurang;Pondok Ikan Dua Putri
{'average': 4.7, 'total': 0};Siomay Kang Cepot, Kaliurang;Siomay Kang Cepot
{'average': 4.7, 'total': 0};Pizza Aroma Italia, Kaliurang Km 5.5;Pizza Aroma Italia, Ni Putu Wiwik Widyastuti
{'average': 4.7, 'total': 0};Mie Gacoan Jogja, Godean;Mie Gacoan
{'average': 4.7, 'total': 0};Starbucks, Uttara Yogya;Starbucks
{'average': 4.8, 'total': 0};Olive Fried Chicken, Jakal Dayu;Olive Fried Chicken
{'average': 4.8, 'total': 0};Choky Spaghetti Steak, Godean, Yogyakarta;Choky Factory
{'average': 4.7, 'total': 0};Haus!, Yogya Kaliurang;HAUS! GENERAL
{'average': 4.6, 'total': 0};Rumah Makan Padang Laris, Godean Sleman Yogyakarta;Rumah Makan Padang Pandawa , Abi Mudrikah
{'average': 4.7, 'total': 0};Nasi Balap Cucun, Kaliurang KM.5;Nasi Balap Cucun, Kaliurang KM.5, Ir. Hj. Suryati
{'average': 4.5, 'total': 0};Kalis Donuts x Couvee, Kaliurang;Kalis Donuts
{'average': 4.7, 'total': 0};Eatmozza Korean Food, Jl. Kaliurang;Eatmozza, Jl. Kaliurang , Anggi Annisya Yomara
{'average': 4.8, 'total': 0};Warmindo Hikayah, Ngaglik;Warmindo Hikayah
{'average': 4.8, 'total': 0};Couvee, Kaliurang;Couvee
{'average': 4.7, 'total': 0};Esque, Godean;ESQUE
{'average': 4.7, 'total': 0};Ayam Tulang Lunak Hayam Wuruk, Kaliurang;Ayam Tulang Lunak Hayam Wuruk All
{'average': 4.7, 'total': 0};Sambel Mbok Wiro, Kaliurang;Sambel Mbok Wiro
{'average': 4.4, 'total': 0};Bakpia Kurnia Sari, Godean;Bakpia Kurnia Sari, Godean
{'average': 4.8, 'total': 0};Rumah Makan Suka-Suka, Kaliurang KM. 5.5;Rumah Makan Suka Suka
{'average': 4.7, 'total': 0};Pizza Hut Delivery - PHD, Kaliurang Yogyakarta;Pizza Hut Delivery - PHD
{'average': 4.8, 'total': 0};Sop Buntut Bu Menuk 2, Kaliurang kM 5.5;Sop Buntut Bu Menuk
{'average': 4.7, 'total': 0};Seblak Pasta, Kaliurang KM 5.3;Seblak Pasta
{'average': 4.5, 'total': 0};Tanoshi, Godean;Tasty Taichan And Meals
{'average': 4.7, 'total': 0};Salad Nyoo (Pelopor #1 Salad Buah Indonesia), Kaliurang;Salad Nyoo
{'average': 4.6, 'total': 0};Easy Peasy Salad Bar, Jakal;Easy Peasy Kitchen, Pakel
{'average': 4.7, 'total': 0};Burger Bangor Express, Jakal Jogja;Burger Bangor General
{'average': 4.7, 'total': 0};Warung Ramen N Katsu, Chapter 2 Godean;Warung Ramen N Katsu
{'average': 4.7, 'total': 0};Rocket Chicken, Sinduharjo;Rocket Chicken General
{'average': 4.8, 'total': 0};Bubur Ayam Jakarta Bang Rudy, Kaliurang;Bubur Ayam Jakarta Bang Rudy
{'average': 4.7, 'total': 0};Tanoshii Sushi, Godean;Tanoshi Sushi
{'average': 4.8, 'total': 0};Cosan Coffee, Kaliurang;Cosan (Coffee Sanctuary), Joevano Devon HARSONO
{'average': 4.7, 'total': 0};Boxmie Street Noodle, Monjali;BOX MIE, Monjali, KEVIN ANGGORO KASIH
{'average': 4.8, 'total': 0};Warung Jepun, Depok;Warung Jepun, UMS
{'average': 4.8, 'total': 0};Ayam Goreng Lengkuas MAK JLEB, Godean;Warung Sego Sambel Mak Jleb, Godean
{'average': 4.7, 'total': 0};Nasgor 212, Godean;Nasgor 212
{'average': 4.3, 'total': 0};Bloomery Patisserie, Jakal;Bloomery Patisserie, Jakal
{'average': 4.9, 'total': 0};Fore Coffee, Kaliurang;Fore Coffee
{'average': 4.7, 'total': 0};Arah Coffee, Pandawa;Arah Kopi
{'average': 4.7, 'total': 0};Jatinangor House Yogja, Godean;Jatinangor House
{'average': 4.6, 'total': 0};Padang Patran, Godean KM 4;Padang Munggur
{'average': 4.7, 'total': 0};Warmindo Togar;Warmindo Togar, Khairum Hawari Qolbiyah,S
{'average': 4.7, 'total': 0};Bakso Lombok Uleg Pak Di, Jl Godean;Bakso Lombok Uleg Pak Di
{'average': 4.6, 'total': 0};Mie Ayam Palembang Afui, Kaliurang;Mie Ayam Palembang Afui
{'average': 4.8, 'total': 0};Bebek Goreng H. Slamet, Godean;Bebek Goreng H.Slamet Jogja
{'average': 4.7, 'total': 0};Karen Chicken by Olive, Magelang Kricak;Karen Chicken
{'average': 4.8, 'total': 0};Blengerr, A.M. Sangaji;Blengerr
{'average': 4.6, 'total': 0};MIXUE GODEAN 2, Godean, Sidoagung;MIXUE GODEAN 2, Godean, Sidoagung, Daniel Erick Christianto
{'average': 4.8, 'total': 0};YOSHINOYA BEEF BOWL, Kaliurang Jogja;YOSHINOYA
{'average': 4.7, 'total': 0};McDonald's, Godean Yogyakarta;McDonald's
{'average': 4.8, 'total': 0};Ayam Bakar dan Sambal Gami Oma Jogja, Perum. Griya Damai Kaliurang;Ayam Bakar dan Sambal Gami Jogja, Yekti Nurhandayani
{'average': 4.8, 'total': 0};Kopi Kenangan, Alfamidi Super Kaliurang KM 9;Kopi Kenangan
{'average': 4.6, 'total': 0};Lawson Shop,  Kaliurang 6BB2;Lawson
{'average': 4.7, 'total': 0};Waroeng Spesial Sambal SS, Jakal Km 8;Waroeng Spesial Sambal (SS)
{'average': 4.7, 'total': 0};Gudeg Yu Djum, AM Sangaji;Gudeg Yu Djum, Kaliurang
{'average': 4.7, 'total': 0};Kopi Janji Jiwa, Jakal;Kopi Janji Jiwa
{'average': 4.7, 'total': 0};Rumah Makan Chaniago, Tempel;Rumah Makan Chaniago, Tempel
{'average': 4.7, 'total': 0};Chingu Korean Cafe, Yogyakarta;Chingu Cafe
{'average': 4.6, 'total': 0};Kebab Turki Baba Rafi, Kaliurang KM 9;Kebab Turki Baba Rafi General Baru
{'average': 4.7, 'total': 0};Chicken Star, Yogyakarta;Chicken Star Antapani
